px,py,pq,vx,vy,vq
0.580118,-0.532012,1.76321,-0.182198,0.141472,1.43679
0.578295,-0.530596,1.77759,-0.182524,0.141725,1.43937
0.576468,-0.529178,1.79199,-0.182844,0.141974,1.44189
0.574638,-0.527757,1.80642,-0.183157,0.142217,1.44436
0.572805,-0.526334,1.82088,-0.183464,0.142455,1.44678
0.570969,-0.524908,1.83536,-0.183763,0.142687,1.44914
0.56913,-0.52348,1.84986,-0.184056,0.142915,1.45145
0.567288,-0.52205,1.86439,-0.184342,0.143137,1.4537
0.565443,-0.520617,1.87894,-0.184621,0.143353,1.45591
0.563595,-0.519183,1.89351,-0.184893,0.143565,1.45805
0.561745,-0.517746,1.9081,-0.185159,0.143771,1.46015
0.559892,-0.516307,1.92271,-0.185417,0.143972,1.46219
0.558037,-0.514866,1.93734,-0.185669,0.144168,1.46417
0.556179,-0.513424,1.95199,-0.185915,0.144358,1.46611
0.554318,-0.511979,1.96666,-0.186153,0.144543,1.46799
0.552456,-0.510533,1.98135,-0.186384,0.144723,1.46981
0.550591,-0.509085,1.99606,-0.186609,0.144897,1.47158
0.548724,-0.507635,2.01078,-0.186827,0.145066,1.4733
0.546854,-0.506184,2.02553,-0.187038,0.14523,1.47497
0.544983,-0.50473,2.04028,-0.187243,0.145389,1.47658
0.543109,-0.503276,2.05506,-0.18744,0.145542,1.47814
0.541234,-0.50182,2.06985,-0.187631,0.145691,1.47964
0.539357,-0.500362,2.08465,-0.187815,0.145833,1.48109
0.537478,-0.498903,2.09947,-0.187992,0.145971,1.48249
0.535597,-0.497443,2.1143,-0.188162,0.146103,1.48383
0.533715,-0.495981,2.12914,-0.188326,0.14623,1.48512
0.53183,-0.494518,2.144,-0.188483,0.146352,1.48636
0.529945,-0.493054,2.15887,-0.188633,0.146468,1.48754
0.528058,-0.491589,2.17375,-0.188776,0.14658,1.48867
0.526169,-0.490122,2.18864,-0.188912,0.146685,1.48975
0.52428,-0.488655,2.20355,-0.189042,0.146786,1.49077
0.522389,-0.487187,2.21846,-0.189165,0.146881,1.49174
0.520496,-0.485717,2.23338,-0.18928,0.146971,1.49265
0.518603,-0.484247,2.24831,-0.18939,0.147056,1.49351
0.516709,-0.482776,2.26325,-0.189492,0.147136,1.49432
0.514813,-0.481304,2.2782,-0.189588,0.14721,1.49507
0.512917,-0.479832,2.29315,-0.189676,0.147279,1.49577
0.51102,-0.478359,2.30811,-0.189758,0.147343,1.49642
0.509122,-0.476885,2.32308,-0.189834,0.147401,1.49701
0.507223,-0.475411,2.33805,-0.189902,0.147454,1.49755
0.505324,-0.473936,2.35303,-0.189964,0.147502,1.49804
0.503424,-0.472461,2.36801,-0.190018,0.147544,1.49847
0.501523,-0.470985,2.383,-0.190066,0.147582,1.49885
0.499622,-0.469509,2.39799,-0.190107,0.147614,1.49917
0.497721,-0.468033,2.41298,-0.190142,0.14764,1.49944
0.49582,-0.466557,2.42798,-0.190169,0.147662,1.49966
0.493918,-0.46508,2.44298,-0.19019,0.147678,1.49982
0.492016,-0.463603,2.45798,-0.190204,0.147689,1.49993
0.490114,-0.462126,2.47298,-0.190211,0.147694,1.49999
0.48905,-0.4613,2.48136,-0.190213,0.147695,1.5
0.487123,-0.45986,2.49627,-0.195272,0.140278,1.48237
0.485145,-0.458494,2.51101,-0.200272,0.132948,1.46496
0.483118,-0.457201,2.52557,-0.205211,0.125707,1.44775
0.481041,-0.45598,2.53997,-0.21009,0.118554,1.43075
0.478916,-0.45483,2.55419,-0.214909,0.11149,1.41397
