200.2495,322.9892,1.4956,-0.0111,1.8117,-0.4149
200.2372,324.8062,1.4914,-0.0134,1.822,-0.4276
200.2227,326.6322,1.487,-0.0157,1.8297,-0.4403
200.2058,328.4647,1.4825,-0.0182,1.8349,-0.453
200.1863,330.3013,1.478,-0.0207,1.8378,-0.4657
200.1644,332.1395,1.4732,-0.0232,1.8383,-0.4782
200.1399,333.9771,1.4684,-0.0258,1.8366,-0.4908
200.1127,335.812,1.4634,-0.0285,1.8328,-0.5033
200.0828,337.642,1.4583,-0.0312,1.8269,-0.5157
200.0503,339.4652,1.4531,-0.0339,1.8192,-0.5281
200.0149,341.2797,1.4478,-0.0367,1.8096,-0.5405
199.9769,343.0838,1.4423,-0.0394,1.7983,-0.5528
199.9361,344.8758,1.4367,-0.0422,1.7855,-0.565
199.8925,346.6543,1.431,-0.045,1.7712,-0.5772
199.8461,348.4178,1.4252,-0.0477,1.7556,-0.5894
199.7971,350.1651,1.4192,-0.0504,1.7387,-0.6015
199.7454,351.8949,1.4131,-0.053,1.7208,-0.6135
199.691,353.6063,1.4069,-0.0557,1.7018,-0.6255
199.6341,355.2983,1.4006,-0.0582,1.6821,-0.6374
199.5746,356.9702,1.3942,-0.0607,1.6615,-0.6493
199.5128,358.6212,1.3876,-0.0631,1.6404,-0.6611
199.4485,360.2508,1.381,-0.0654,1.6188,-0.6728
199.382,361.8586,1.3742,-0.0676,1.5967,-0.6846
199.3134,363.4442,1.3673,-0.0697,1.5745,-0.6962
199.2427,365.0074,1.3603,-0.0716,1.552,-0.7078
199.1702,366.5482,1.3531,-0.0734,1.5295,-0.7194
199.0959,368.0665,1.3459,-0.0751,1.5071,-0.7308
199.02,369.5625,1.3385,-0.0766,1.4848,-0.7423
198.9427,371.0363,1.331,-0.078,1.4628,-0.7537
198.8641,372.4882,1.3234,-0.0791,1.4412,-0.765
198.7844,373.9188,1.3157,-0.0801,1.42,-0.7762
198.7039,375.3283,1.3079,-0.0809,1.3993,-0.7874
198.6228,376.7175,1.3,-0.0814,1.3792,-0.7986
198.5412,378.087,1.2919,-0.0817,1.3599,-0.8096
198.4594,379.4376,1.2838,-0.0818,1.3413,-0.8206
198.3777,380.7699,1.2755,-0.0816,1.3235,-0.8315
198.2962,382.0849,1.2672,-0.0812,1.3067,-0.8424
198.2153,383.3836,1.2587,-0.0805,1.2908,-0.8532
198.1353,384.6669,1.2501,-0.0795,1.2759,-0.8638
198.0563,385.9358,1.2414,-0.0783,1.2621,-0.8745
197.9788,387.1915,1.2326,-0.0767,1.2494,-0.885
197.903,388.435,1.2237,-0.0748,1.2378,-0.8954
197.8293,389.6675,1.2147,-0.0726,1.2274,-0.9057
197.7579,390.8903,1.2056,-0.0701,1.2182,-0.9159
197.6893,392.1044,1.1964,-0.0672,1.2103,-0.926
197.6237,393.3113,1.1871,-0.064,1.2036,-0.936
197.5615,394.512,1.1777,-0.0604,1.1981,-0.9459
197.503,395.7078,1.1681,-0.0564,1.1939,-0.9556
197.4488,396.9001,1.1585,-0.0521,1.1909,-0.9652
197.399,398.09,1.1488,-0.0473,1.1892,-0.9747
197.3542,399.2789,1.139,-0.0422,1.1887,-0.984
197.3507,399.3928,1.1382,-0.0417,1.1888,-0.9848
197.3117,400.582,1.1283,-0.0362,1.1897,-0.994
197.2785,401.7726,1.1183,-0.0302,1.1917,-1.003
197.2514,402.9658,1.1082,-0.0238,1.195,-1.0118
197.231,404.1629,1.0981,-0.0171,1.1993,-1.0204
197.2175,405.3648,1.0878,-0.0098,1.2048,-1.0289
197.2114,406.5727,1.0775,-0.0022,1.2112,-1.0372
197.2132,407.7876,1.0671,0.0058,1.2187,-1.0453
197.2232,409.0104,1.0566,0.0143,1.2271,-1.0532
197.2418,410.242,1.046,0.0231,1.2364,-1.0609
197.2696,411.4834,1.0354,0.0324,1.2465,-1.0685
197.3069,412.7353,1.0246,0.0422,1.2574,-1.0758
197.354,413.9985,1.0138,0.0523,1.269,-1.0829
197.4116,415.2736,1.003,0.0628,1.2813,-1.0897
197.4799,416.5613,0.992,0.0738,1.2942,-1.0964
197.5594,417.8622,0.9811,0.0852,1.3077,-1.1028
197.6504,419.1768,0.97,0.097,1.3216,-1.109
197.7535,420.5056,0.9589,0.1092,1.336,-1.1149
197.869,421.8489,0.9477,0.1218,1.3507,-1.1206
197.9973,423.2071,0.9365,0.1349,1.3657,-1.126
198.1389,424.5804,0.9252,0.1483,1.381,-1.1312
198.2941,425.9691,0.9138,0.1621,1.3964,-1.1361
198.4633,427.3733,0.9025,0.1764,1.4119,-1.1407
198.6469,428.793,0.891,0.191,1.4275,-1.145
198.8454,430.2283,0.8796,0.206,1.4431,-1.1491
199.059,431.6792,0.868,0.2213,1.4586,-1.1529
199.2882,433.1456,0.8565,0.2371,1.474,-1.1564
199.5333,434.6272,0.8449,0.2532,1.4892,-1.1596
199.7948,436.1239,0.8333,0.2697,1.5041,-1.1625
200.0728,437.6353,0.8217,0.2865,1.5187,-1.1652
200.3679,439.1612,0.81,0.3037,1.533,-1.1675
200.6803,440.7012,0.7983,0.3212,1.5468,-1.1695
201.0104,442.2547,0.7866,0.339,1.5602,-1.1711
201.3585,443.8213,0.7749,0.3572,1.573,-1.1725
201.7249,445.4005,0.7632,0.3757,1.5852,-1.1736
202.11,446.9916,0.7514,0.3945,1.5968,-1.1743
202.514,448.5939,0.7397,0.4135,1.6078,-1.1747
202.9371,450.2069,0.7279,0.4329,1.618,-1.1748
